x,y,LOCAL_YEAR,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,TOTAL_SNOW_FLAG,STATION_NAME,PROVINCE_CODE,DIRECTION_MAX_GUST,MAX_TEMPERATURE_FLAG,ID,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,TOTAL_SNOW,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN,MEAN_TEMPERATURE
-84.51666667,46.47805556,2019,,M,M,2019-02-08 0:00,,SAULT STE. MARIE AIRPORT,ON,,M,6057593.2019.2.8,,M,,,,,M,,,2,,,,M,M,8,M,M,M,,6057593,,
-84.51666667,46.47805556,2019,89,,,2019-02-09 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.9,29.8,,-15.7,,,0,,-8,,2,,1.2,45,,,9,,,,75,6057593,,-11.8
-84.51666667,46.47805556,2019,89,,,2019-02-10 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.10,33.5,,-22.5,,,0,,-8.5,,2,,0.7,49,,,10,,,,78,6057593,,-15.5
-84.51666667,46.47805556,2019,89,,,2019-02-11 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.11,28.3,,-14.6,,,0,,-6,,2,,0.2,48,,,11,,,,60,6057593,,-10.3
-84.51666667,46.47805556,2019,88,,,2019-02-12 0:00,,SAULT STE. MARIE AIRPORT,ON,6,,6057593.2019.2.12,26.6,,-10.7,,47,0,,-6.4,,2,,5,45,,,12,,,,54,6057593,,-8.6
-84.51666667,46.47805556,2019,88,,,2019-02-13 0:00,,SAULT STE. MARIE AIRPORT,ON,28,,6057593.2019.2.13,27.3,,-11.6,,32,0,,-6.9,,2,,3.1,59,,,13,,,,68,6057593,,-9.3
-84.51666667,46.47805556,2019,93,,,2019-02-14 0:00,,SAULT STE. MARIE AIRPORT,ON,8,,6057593.2019.2.14,25.4,,-10.5,,37,0,,-4.3,,2,,5.7,60,,,14,,,,81,6057593,,-7.4
-84.51666667,46.47805556,2019,94,,,2019-02-15 0:00,,SAULT STE. MARIE AIRPORT,ON,32,,6057593.2019.2.15,23.5,,-7.8,,52,0,,-3.3,,2,,6.6,68,,,15,,,,72,6057593,,-5.5
-84.51666667,46.47805556,2019,89,,,2019-02-16 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.16,32.1,,-20.6,,,0,,-7.7,,2,,0,70,,,16,,,,65,6057593,,-14.1
-84.51666667,46.47805556,2019,87,,,2019-02-17 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.17,32.3,,-22.2,,,0,,-6.4,,2,,1.2,68,,,17,,,,55,6057593,,-14.3
-84.51666667,46.47805556,2019,86,,,2019-02-18 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.18,34.6,,-20,,,0,,-13.2,,2,,0,67,,,18,,,,54,6057593,,-16.6
-84.51666667,46.47805556,2019,89,,,2019-02-19 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.19,29,,-17.3,,,0,,-4.7,,2,,0,66,,,19,,,,59,6057593,,-11
-84.51666667,46.47805556,2019,90,,,2019-02-20 0:00,,SAULT STE. MARIE AIRPORT,ON,9,,6057593.2019.2.20,29.3,,-18.6,,41,0,,-4,,2,,5.6,65,,,20,,,,67,6057593,,-11.3
-84.51666667,46.47805556,2019,91,,,2019-02-21 0:00,,SAULT STE. MARIE AIRPORT,ON,26,,6057593.2019.2.21,21.5,,-5.9,,34,0,,-1,,2,,0.6,72,,,21,,,,69,6057593,,-3.5
-84.51666667,46.47805556,2019,95,,,2019-02-22 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.22,23.1,,-10.4,,,0,,0.2,,2,,0,69,,,22,,,,62,6057593,,-5.1
-84.51666667,46.47805556,2019,93,,,2019-02-23 0:00,,SAULT STE. MARIE AIRPORT,ON,8,,6057593.2019.2.23,23.8,,-11,,51,0,,-0.5,,2,,2,68,,,23,,,,73,6057593,,-5.8
-84.51666667,46.47805556,2019,96,,,2019-02-24 0:00,,SAULT STE. MARIE AIRPORT,ON,30,,6057593.2019.2.24,20.9,,-6.4,,57,0,,0.6,,2,,16.4,61,,,24,,,,89,6057593,,-2.9
-84.51666667,46.47805556,2019,91,,,2019-02-25 0:00,,SAULT STE. MARIE AIRPORT,ON,28,,6057593.2019.2.25,27.9,,-13.4,,65,0,,-6.4,,2,,3.6,61,,,25,,,,86,6057593,,-9.9
-84.51666667,46.47805556,2019,86,,,2019-02-26 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.26,35.1,,-22.3,,,0,,-11.8,,2,,0.3,63,,,26,,,,79,6057593,,-17.1
-84.51666667,46.47805556,2019,87,,,2019-02-27 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.27,31.9,,-20.1,,,0,,-7.7,,2,,2,62,,,27,,,,80,6057593,,-13.9
-84.51666667,46.47805556,2019,90,,,2019-02-28 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.2.28,32.9,,-23.7,,,0,,-6.1,,2,,0,64,,,28,,,,62,6057593,,-14.9
-84.51666667,46.47805556,2019,90,,,2019-03-01 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.1,29.6,,-19.8,,,0,,-3.4,,3,,0.1,65,,,1,,,,60,6057593,,-11.6
-84.51666667,46.47805556,2019,89,,,2019-03-02 0:00,,SAULT STE. MARIE AIRPORT,ON,29,,6057593.2019.3.2,25.9,,-10.5,,33,0,,-5.4,,3,,1.6,66,,,2,,,,58,6057593,,-7.9
-84.51666667,46.47805556,2019,87,,,2019-03-03 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.3,33.4,,-20.6,,,0,,-10.1,,3,,3.2,70,,,3,,,,57,6057593,,-15.4
-84.51666667,46.47805556,2019,84,,,2019-03-04 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.4,37.6,,-26.1,,,0,,-13.1,,3,,0.9,71,,,4,,,,50,6057593,,-19.6
-84.51666667,46.47805556,2019,83,,,2019-03-05 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.5,35.9,,-24.9,,,0,,-10.9,,3,,0,71,,,5,,,,54,6057593,,-17.9
-84.51666667,46.47805556,2019,87,,,2019-03-06 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.6,35.9,,-24.8,,,0,,-11.1,,3,,0,70,,,6,,,,52,6057593,,-17.9
-84.51666667,46.47805556,2019,89,,,2019-03-07 0:00,,SAULT STE. MARIE AIRPORT,ON,,,6057593.2019.3.7,34.1,,-22.5,,,0,,-9.7,,3,,0,70,,,7,,,,53,6057593,,-16.1
